ID,Title,Author_ID,genre,publishedAt,pages,price,createdAt,createdBy,modifiedAt,modifiedBy
26900027-81cf-4a56-9d1c-f6c0b2d614cd,Title-26900027,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900027,2011-07-06,20,8274218.29,2014-11-01T00:00:00.000Z,createdBy.g0k6z@example.org,2001-05-03T00:00:00.000Z,modifiedBy.g0k6z@example.org
26900028-0804-498a-81e1-f9d8cebae092,Title-26900028,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900028,2022-05-13,24,4047029.71,2020-12-17T00:00:00.000Z,createdBy.g0k70@example.org,2021-09-11T00:00:00.000Z,modifiedBy.g0k70@example.net
26900029-3bb4-4719-b4e4-4e93f0358112,Title-26900029,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900029,2014-07-30,6,666759.03,2008-09-13T00:00:00.000Z,createdBy.g0k71@example.com,2006-04-02T00:00:00.000Z,modifiedBy.g0k71@example.org
26900030-cec4-4213-99bb-51014f50788c,Title-26900030,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900030,2015-06-19,87,816168.08,2002-06-13T00:00:00.000Z,createdBy.g0k72@example.net,2008-10-18T00:00:00.000Z,modifiedBy.g0k72@example.com
26900031-ddc9-45d2-b59d-d53baa300a17,Title-26900031,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900031,2005-02-25,89,7387914.71,2007-09-23T00:00:00.000Z,createdBy.g0k73@example.net,2009-09-22T00:00:00.000Z,modifiedBy.g0k73@example.com
26900032-2e58-40a7-a974-7f788644a650,Title-26900032,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900032,2003-07-07,85,6064880.08,2001-05-04T00:00:00.000Z,createdBy.g0k74@example.net,2023-11-28T00:00:00.000Z,modifiedBy.g0k74@example.net
26900033-33db-4f2e-a292-b19468607360,Title-26900033,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900033,2023-03-14,38,1007231.08,2012-04-23T00:00:00.000Z,createdBy.g0k75@example.net,2016-01-08T00:00:00.000Z,modifiedBy.g0k75@example.net
26900034-ef1d-4594-8672-8115c5e21630,Title-26900034,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900034,2010-06-24,44,1581134.5,2006-06-06T00:00:00.000Z,createdBy.g0k76@example.com,2011-03-18T00:00:00.000Z,modifiedBy.g0k76@example.com
26900035-dab4-437a-8a08-fbe162370668,Title-26900035,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900035,2015-02-07,59,3186245.35,2020-04-04T00:00:00.000Z,createdBy.g0k77@example.com,2018-07-04T00:00:00.000Z,modifiedBy.g0k77@example.net
26900036-80e3-4b11-be9f-309f6eb92bec,Title-26900036,23943692-6d08-4a12-b391-316ad9b3ccf4,genre-26900036,2010-04-11,66,9529175.83,2020-08-04T00:00:00.000Z,createdBy.g0k78@example.net,2011-09-17T00:00:00.000Z,modifiedBy.g0k78@example.org
